a último momento	at the last minute
el aguacero	(heavy) rain shower
asustarse	to get scared
atravesar (ie)	to go through, to cross
la cancelación	cancellation
cancelar	to cancel
el cheque de viajero	traveler's check
la confirmación	confirmation
confirmar	to confirm
el descuento	discount
el detalle	detail
embarcar	to board
la excursión	outing
gastar	to spend
hacer fila	to stand in line
hasta que	until
el malentendido	misunderstanding
mover(se) (ue)	to move
negar (ie)	to deny
la niebla	fog
la nube	cloud
observar	to observe
perder (ie)	to miss
planear	to plan
por adelantado	in advance
presentarse	to show up
el relámpago	lightning
la reserva	reservation
retrasado/a	delayed
el retraso	delay
sin previo aviso	without advance notice
sujeto a cambio	subject to change
tan pronto como	as soon as
la tarjeta de embarque	boarding pass
el trueno	thunder
la turbulencia	turbulence
el volcán	volcano
el albergue juvenil	youth hostel
la balsa	raft
la bañera	bathtub
blando/a	soft
bucear	to scuba dive
la cabalgata	horseback ride
la cama doble	double bed
la cama sencilla	single bed
la cancha de tenis	tennis court
el conserje, la conserje	concierge
dar a	to look onto
el depósito	deposit
disgustar	to dislike
disponible	available
Es una lástima que...	It's a pity that...
fastidiar	to bother
firme	firm
incluir	to include
el jaguar	jaguar
la lavandería	laundry
la mariposa	butterfly
el medio ambiente	environment
la naturaleza	nature
navegar por rápidos	to go white-water rafting
la orquídea	orchid
el oso perezoso	sloth
el parque nacional	national park
proteger	to protect
el quetzal	quetzal
el refugio de vida silvestre	wildlife refuge
el registro	register
relajarse	to relax
la reserva natural	nature reserve
los servicios	services
sorprender	to surprise
el tucán	toucan